Date,Contenu,Nombre,Annee,Mois,Jour,Time,neg,neu,pos,compound
2025-03-06 08:12:45,I woke up feeling incredibly happy today!,72.0,2025,3,6,08:12:45,0.0,0.464,0.536,0.663955
2025-03-06 08:45:10,"This morning feels heavy, sadness is overwhelming me.",41.0,2025,3,6,08:45:10,0.293,0.707,0.0,-0.4404
2025-03-06 09:20:33,I can't believe how angry I am right now!,94.0,2025,3,6,09:20:33,0.0,0.728,0.272,0.434815
2025-03-06 10:05:15,What an amazing surprise! I never expected this.,78.0,2025,3,6,10:05:15,0.0,0.492,0.508,0.697775
2025-03-06 10:45:50,My hands are shaking... fear is taking over.,53.0,2025,3,6,10:45:50,0.45,0.55,0.0,-0.5994
2025-03-06 11:15:05,You are the best thing that ever happened to me.,66.0,2025,3,6,11:15:05,0.0,0.682,0.318,0.605055
2025-03-06 12:00:20,"Gratitude fills my heart, I feel so blessed.",70.0,2025,3,6,12:00:20,0.0,0.286,0.714,0.879605
2025-03-06 12:35:40,The rain outside makes me feel nostalgic.,48.0,2025,3,6,12:35:40,0.0,1.0,0.0,0.0
2025-03-06 13:10:55,I screamed in frustration when I lost my work.,92.0,2025,3,6,13:10:55,0.562,0.438,0.0,-0.7331150000000001
2025-03-06 14:25:30,Your talent is absolutely incredible!,81.0,2025,3,6,14:25:30,0.0,0.564,0.436,0.451535
2025-03-06 15:05:45,"I'm so stressed, I don't know what to do next.",57.0,2025,3,6,15:05:45,0.23,0.77,0.0,-0.4005
2025-03-06 15:50:22,"This joke was hilarious, I can't stop laughing!",95.0,2025,3,6,15:50:22,0.192,0.292,0.516,0.508155
2025-03-06 16:30:10,"I feel so betrayed, I never expected this from you...",39.0,2025,3,6,16:30:10,0.362,0.638,0.0,-0.7647149999999999
2025-03-06 17:10:50,I feel completely at peace right now.,66.0,2025,3,6,17:10:50,0.0,0.614,0.386,0.553755
2025-03-06 18:05:35,My heart is racing… I think I’m in love.,84.0,2025,3,6,18:05:35,0.0,0.455,0.545,0.812725
2025-03-06 19:20:45,That loud noise scared me so much!,53.0,2025,3,6,19:20:45,0.347,0.653,0.0,-0.4926
2025-03-06 20:10:00,I'm incredibly proud of what we've achieved today.,72.0,2025,3,6,20:10:00,0.0,0.674,0.326,0.49932
2025-03-06 21:05:15,"I miss you so much, it’s unbearable.",47.0,2025,3,6,21:05:15,0.211,0.789,0.0,-0.1531
2025-03-06 22:00:55,I want to shout my joy to the world!,88.0,2025,3,6,22:00:55,0.0,0.565,0.435,0.6258600000000001
2025-03-06 22:45:30,"Anxiety is creeping in, what if everything goes wrong?",59.0,2025,3,6,22:45:30,0.407,0.593,0.0,-0.5859
2025-03-07 00:10:15,This moment will stay in my heart forever.,77.0,2025,3,7,00:10:15,0.0,0.625,0.375,0.605055
2025-03-07 01:35:50,"My hands are shaking, I don’t know what to do...",41.0,2025,3,7,01:35:50,0.159,0.841,0.0,-0.1779
2025-03-07 03:00:25,I feel immense pride seeing you succeed.,79.0,2025,3,7,03:00:25,0.0,0.472,0.528,0.64676
2025-03-07 04:20:45,This anger inside me is boiling over.,90.0,2025,3,7,04:20:45,0.381,0.619,0.0,-0.5433049999999999
2025-03-07 06:10:10,Every second with you is a blessing.,65.0,2025,3,7,06:10:10,0.0,0.652,0.348,0.469205
2025-03-07 07:40:30,"I'm completely lost, nothing makes sense anymore.",38.0,2025,3,7,07:40:30,0.302,0.698,0.0,-0.39942
2025-03-07 08:55:20,"I want to cry out of happiness, this is perfect.",76.0,2025,3,7,08:55:20,0.175,0.339,0.486,0.636975
2025-03-07 10:15:05,"I never expected this, I’m truly shocked!",85.0,2025,3,7,10:15:05,0.219,0.477,0.304,0.21317999999999998
2025-03-07 11:30:50,"This movie touched me deeply, what a beautiful story.",58.0,2025,3,7,11:30:50,0.0,0.658,0.342,0.6326
2025-03-07 12:05:40,Thinking about that moment makes me smile.,92.0,2025,3,7,12:05:40,0.0,0.706,0.294,0.34314
2025-03-07 13:50:15,This injustice makes me so angry!,67.0,2025,3,7,13:50:15,0.673,0.327,0.0,-0.80693
2025-03-07 14:45:00,I feel a strange fear creeping into my heart.,54.0,2025,3,7,14:45:00,0.329,0.395,0.276,0.0516
2025-03-07 15:30:10,"Thank you for everything, I am truly grateful.",73.0,2025,3,7,15:30:10,0.0,0.373,0.627,0.77197
2025-03-07 16:20:35,This is the happiest day of my life!,96.0,2025,3,7,16:20:35,0.0,0.609,0.391,0.63612
2025-03-07 17:05:20,I feel like the whole world is crumbling.,40.0,2025,3,7,17:05:20,0.0,0.737,0.263,0.3612
2025-03-07 17:35:50,My heart aches thinking about saying goodbye…,49.0,2025,3,7,17:35:50,0.179,0.446,0.375,0.4939
2025-03-07 17:50:30,I’m so frustrated! How could this happen?,89.0,2025,3,7,17:50:30,0.399,0.601,0.0,-0.579975
2025-03-07 18:10:55,I’m amazed by the beauty around me.,75.0,2025,3,7,18:10:55,0.0,0.417,0.583,0.75107
2025-03-07 18:35:45,I feel incredibly confused about everything.,43.0,2025,3,7,18:35:45,0.341,0.659,0.0,-0.3804
2025-03-07 18:55:20,I can't believe this is real!,82.0,2025,3,7,18:55:20,0.0,1.0,0.0,0.0
